Champion,1st Item,2nd Item,3rd Item,4th Item, Pick Rate, Win Rate
AurelionSol, Rod of Ages, Rylai's Crystal Scepter, Zhonya's Hourglass,NaN,0.1367,0.6337
AurelionSol, Rod of Ages, Zhonya's Hourglass, Rylai's Crystal Scepter,NaN,0.0771,0.5965
AurelionSol, Rod of Ages, Zhonya's Hourglass, Morellonomicon,NaN,0.0758,0.6429
AurelionSol, Rylai's Crystal Scepter, Morellonomicon, Zhonya's Hourglass,NaN,0.0568,0.7381
AurelionSol, Rod of Ages, Rylai's Crystal Scepter, Morellonomicon,NaN,0.0419,0.5484
AurelionSol, Rylai's Crystal Scepter, Zhonya's Hourglass, Morellonomicon,NaN,0.0379,0.6429
AurelionSol, Rod of Ages, Morellonomicon, Mejai's Soulstealer,NaN,0.0365,0.8889
Azir, Nashor's Tooth, Morellonomicon, Zhonya's Hourglass,NaN,0.1552,0.5566
Azir, Luden's Echo, Nashor's Tooth, Morellonomicon,NaN,0.0835,0.4561
Azir, Luden's Echo, Nashor's Tooth, Zhonya's Hourglass,NaN,0.0703,0.5625
Azir, Nashor's Tooth, Zhonya's Hourglass, Morellonomicon,NaN,0.0527,0.5
Azir, Nashor's Tooth, Morellonomicon, Rabadon's Deathcap,NaN,0.0498,0.6176
Azir, Nashor's Tooth, Luden's Echo, Morellonomicon,NaN,0.0351,0.625
Azir, Nashor's Tooth, Morellonomicon, Banshee's Veil,NaN,0.0278,0.6842
Azir, Luden's Echo, Nashor's Tooth, Rylai's Crystal Scepter,NaN,0.0278,0.6842
Camille, Tiamat, Trinity Force, Ravenous Hydra, Sterak's Gage,0.3649,0.622
Camille, Tiamat, Trinity Force, Ravenous Hydra, Guardian Angel,0.1379,0.625
Camille, Trinity Force, Ravenous Hydra, Sterak's Gage,NaN,0.0805,0.6071
Camille, Tiamat, Trinity Force, Sterak's Gage, Ravenous Hydra,0.0661,0.6087
Camille, Tiamat, Trinity Force, Sterak's Gage, Guardian Angel,0.0431,0.6667
Camille, Ravenous Hydra, Trinity Force, Sterak's Gage,NaN,0.0345,0.5
Camille, Trinity Force, Ravenous Hydra, Guardian Angel,NaN,0.0345,0.4167
Camille, Trinity Force, Ravenous Hydra, Maw of Malmortius,NaN,0.0259,0.7778
Cassiopeia, Archangel's Staff, Rylai's Crystal Scepter, Liandry's Torment,NaN,0.1803,0.6155
Cassiopeia, Archangel's Staff, Rylai's Crystal Scepter, Zhonya's Hourglass,NaN,0.1526,0.5677
Cassiopeia, Archangel's Staff, Rylai's Crystal Scepter, Morellonomicon,NaN,0.1133,0.6147
Cassiopeia, Rod of Ages, Archangel's Staff, Rylai's Crystal Scepter,NaN,0.0583,0.5829
Cassiopeia, Archangel's Staff, Zhonya's Hourglass, Rylai's Crystal Scepter,NaN,0.0487,0.6164
Cassiopeia, Archangel's Staff, Rylai's Crystal Scepter, Banshee's Veil,NaN,0.0387,0.6034
Cassiopeia, Archangel's Staff, Morellonomicon, Rylai's Crystal Scepter,NaN,0.0303,0.6044
Cassiopeia, Archangel's Staff, Morellonomicon, Zhonya's Hourglass,NaN,0.0223,0.6716
Corki, Trinity Force, Infinity Edge, Rapid Firecannon,NaN,0.3456,0.5902
Corki, Trinity Force, Rapid Firecannon, Infinity Edge,NaN,0.2181,0.4545
Corki, Trinity Force, Essence Reaver, Infinity Edge,NaN,0.0595,0.619
Corki, Trinity Force, Essence Reaver, Rapid Firecannon,NaN,0.051,0.5556
Corki, Trinity Force, Infinity Edge, Phantom Dancer,NaN,0.034,0.5
Corki, Stormrazor, Infinity Edge, Rapid Firecannon,NaN,0.034,0.75
Corki, Trinity Force, Stormrazor, Rapid Firecannon,NaN,0.0283,0.7
Corki, Trinity Force, Stormrazor, Infinity Edge,NaN,0.0255,0.7778
Diana, Hextech Protobelt-01, Morellonomicon, Zhonya's Hourglass,NaN,0.3517,0.5794
Diana, Hextech Protobelt-01, Zhonya's Hourglass, Morellonomicon,NaN,0.1637,0.5568
Diana, Rod of Ages, Nashor's Tooth, Zhonya's Hourglass,NaN,0.0697,0.5608
Diana, Hextech Protobelt-01, Nashor's Tooth, Zhonya's Hourglass,NaN,0.0389,0.6061
Diana, Hextech Protobelt-01, Zhonya's Hourglass, Rabadon's Deathcap,NaN,0.0379,0.6646
Diana, Hextech Protobelt-01, Morellonomicon, Rabadon's Deathcap,NaN,0.0257,0.6239
Diana, Hextech Protobelt-01, Rabadon's Deathcap, Zhonya's Hourglass,NaN,0.024,0.5784
Diana, Hextech Protobelt-01, Zhonya's Hourglass, Nashor's Tooth,NaN,0.0181,0.5844
Ekko, Hextech Protobelt-01, Lich Bane, Zhonya's Hourglass,NaN,0.3061,0.5636
Ekko, Hextech Protobelt-01, Lich Bane, Morellonomicon,NaN,0.166,0.5156
Ekko, Hextech Protobelt-01, Lich Bane, Mejai's Soulstealer,NaN,0.1051,0.7654
Ekko, Hextech Protobelt-01, Lich Bane, Rabadon's Deathcap,NaN,0.1051,0.6543
Ekko, Hextech Protobelt-01, Mejai's Soulstealer, Lich Bane,NaN,0.0837,0.7674
Ekko, Hextech Protobelt-01, Zhonya's Hourglass, Lich Bane,NaN,0.0519,0.5
Ekko, Hextech Protobelt-01, Morellonomicon, Lich Bane,NaN,0.0227,0.4
Ekko, Hextech Protobelt-01, Zhonya's Hourglass, Morellonomicon,NaN,0.0214,0.5455
Fizz, Hextech Protobelt-01, Zhonya's Hourglass, Lich Bane,NaN,0.2333,0.5502
Fizz, Hextech Protobelt-01, Lich Bane, Zhonya's Hourglass,NaN,0.1935,0.5362
Fizz, Hextech Protobelt-01, Zhonya's Hourglass, Mejai's Soulstealer,NaN,0.1414,0.7116
Fizz, Hextech Protobelt-01, Mejai's Soulstealer, Zhonya's Hourglass,NaN,0.1226,0.6831
Fizz, Hextech Protobelt-01, Lich Bane, Mejai's Soulstealer,NaN,0.0352,0.7397
Fizz, Hextech Protobelt-01, Mejai's Soulstealer, Lich Bane,NaN,0.0335,0.7698
Fizz, Hextech Protobelt-01, Zhonya's Hourglass, Morellonomicon,NaN,0.0287,0.5714
Fizz, Hextech Protobelt-01, Lich Bane, Morellonomicon,NaN,0.0159,0.5
Galio, Hextech Protobelt-01, Luden's Echo, Zhonya's Hourglass,NaN,0.2082,0.598
Galio, Hextech Protobelt-01, Zhonya's Hourglass, Morellonomicon,NaN,0.1408,0.5217
Galio, Hextech Protobelt-01, Morellonomicon, Zhonya's Hourglass,NaN,0.1255,0.5691
Galio, Hextech Protobelt-01, Zhonya's Hourglass, Luden's Echo,NaN,0.048,0.4468
Galio, Hextech Protobelt-01, Luden's Echo, Morellonomicon,NaN,0.0469,0.6304
Galio, Hextech Protobelt-01, Zhonya's Hourglass, Rabadon's Deathcap,NaN,0.0296,0.6897
Galio, Hextech Protobelt-01, Zhonya's Hourglass, Banshee's Veil,NaN,0.0255,0.56
Galio, Hextech Protobelt-01, Mejai's Soulstealer, Zhonya's Hourglass,NaN,0.0143,0.7143
Garen, Trinity Force, Phantom Dancer, Dead Man's Plate,NaN,0.1978,0.5604
Garen, Trinity Force, Statikk Shiv, Dead Man's Plate,NaN,0.1348,0.5484
Garen, Trinity Force, Statikk Shiv, Sterak's Gage,NaN,0.0543,0.76
Garen, Trinity Force, Dead Man's Plate, Statikk Shiv,NaN,0.0457,0.7143
Garen, Trinity Force, Dead Man's Plate, Phantom Dancer,NaN,0.0457,0.6667
Garen, Trinity Force, Dead Man's Plate, Sterak's Gage,NaN,0.0413,0.8421
Garen, Trinity Force, Dead Man's Plate, Thornmail,NaN,0.0196,0.4444
Garen, Trinity Force, Phantom Dancer, Infinity Edge,NaN,0.0152,0.7143
Irelia, Tiamat, Trinity Force, Titanic Hydra, Sterak's Gage,0.1719,0.5669
Irelia, Tiamat, Trinity Force, Titanic Hydra, Guardian Angel,0.066,0.5909
Irelia, Tiamat, Trinity Force, Sterak's Gage, Titanic Hydra,0.0625,0.576
Irelia, Tiamat, Trinity Force, Sterak's Gage, Guardian Angel,0.061,0.623
Irelia, Trinity Force, Sterak's Gage, Guardian Angel,NaN,0.0535,0.6262
Irelia, Wit's End, Trinity Force, Sterak's Gage,NaN,0.043,0.5698
Irelia, Trinity Force, Titanic Hydra, Sterak's Gage,NaN,0.0385,0.4675
Irelia, Tiamat, Trinity Force, Ravenous Hydra, Sterak's Gage,0.031,0.6129
Jayce, Youmuu's Ghostblade, Duskblade of Draktharr, Black Cleaver,NaN,0.1326,0.5143
Jayce, Youmuu's Ghostblade, Duskblade of Draktharr, Edge of Night,NaN,0.1231,0.5077
Jayce, Youmuu's Ghostblade, Duskblade of Draktharr, Umbral Glaive,NaN,0.053,0.6786
Jayce, Youmuu's Ghostblade, Umbral Glaive, Duskblade of Draktharr,NaN,0.0417,0.6364
Jayce, Youmuu's Ghostblade, Black Cleaver, Edge of Night,NaN,0.0398,0.619
Jayce, Youmuu's Ghostblade, Black Cleaver, Duskblade of Draktharr,NaN,0.036,0.5263
Jayce, Youmuu's Ghostblade, Umbral Glaive, Edge of Night,NaN,0.0303,0.5625
Jayce, Manamune, Youmuu's Ghostblade, Duskblade of Draktharr,NaN,0.0265,0.6429
Kassadin, Rod of Ages, Archangel's Staff, Zhonya's Hourglass,NaN,0.4957,0.6089
Kassadin, Rod of Ages, Archangel's Staff, Lich Bane,NaN,0.1001,0.656
Kassadin, Rod of Ages, Archangel's Staff, Mejai's Soulstealer,NaN,0.0994,0.8214
Kassadin, Rod of Ages, Archangel's Staff, Morellonomicon,NaN,0.065,0.6339
Kassadin, Rod of Ages, Archangel's Staff, Rabadon's Deathcap,NaN,0.0341,0.8125
Kassadin, Rod of Ages, Zhonya's Hourglass, Archangel's Staff,NaN,0.0263,0.6486
Kassadin, Rod of Ages, Mejai's Soulstealer, Archangel's Staff,NaN,0.0231,0.8462
Kassadin, Rod of Ages, Archangel's Staff, Banshee's Veil,NaN,0.011,0.5806
Katarina, Hextech Gunblade, Morellonomicon, Zhonya's Hourglass,NaN,0.2876,0.5823
Katarina, Hextech Gunblade, Zhonya's Hourglass, Morellonomicon,NaN,0.1054,0.621
Katarina, Hextech Gunblade, Death's Dance, Zhonya's Hourglass,NaN,0.0876,0.5632
Katarina, Hextech Gunblade, Morellonomicon, Void Staff,NaN,0.0728,0.6498
Katarina, Hextech Gunblade, Death's Dance, Liandry's Torment,NaN,0.0534,0.6164
Katarina, Hextech Gunblade, Morellonomicon, Rabadon's Deathcap,NaN,0.0503,0.6533
Katarina, Hextech Gunblade, Death's Dance, Morellonomicon,NaN,0.0346,0.4951
Katarina, Hextech Gunblade, Zhonya's Hourglass, Void Staff,NaN,0.0332,0.5253
Kled, Tiamat, Black Cleaver, Titanic Hydra, Sterak's Gage,0.1889,0.5641
Kled, Titanic Hydra, Black Cleaver, Guardian Angel,NaN,0.1501,0.5968
Kled, Titanic Hydra, Black Cleaver, Sterak's Gage,NaN,0.1404,0.5862
Kled, Tiamat, Black Cleaver, Titanic Hydra, Guardian Angel,0.1404,0.6724
Kled, Titanic Hydra, Black Cleaver, Maw of Malmortius,NaN,0.0266,0.8182
Kled, Tiamat, Black Cleaver, Titanic Hydra, Maw of Malmortius,0.0218,0.5556
Kled, Titanic Hydra, Black Cleaver, Randuin's Omen,NaN,0.0194,0.5
Kled, Titanic Hydra, Black Cleaver, Gargoyle Stoneplate,NaN,0.0169,0.7143
LeBlanc, Luden's Echo, Morellonomicon, Zhonya's Hourglass,NaN,0.2276,0.5208
LeBlanc, Luden's Echo, Morellonomicon, Mejai's Soulstealer,NaN,0.1211,0.7023
LeBlanc, Luden's Echo, Mejai's Soulstealer, Morellonomicon,NaN,0.1021,0.7121
LeBlanc, Luden's Echo, Morellonomicon, Rabadon's Deathcap,NaN,0.0964,0.6197
LeBlanc, Luden's Echo, Morellonomicon, Void Staff,NaN,0.0895,0.5406
LeBlanc, Luden's Echo, Zhonya's Hourglass, Morellonomicon,NaN,0.0654,0.4831
LeBlanc, Luden's Echo, Morellonomicon, Banshee's Veil,NaN,0.0424,0.6045
LeBlanc, Luden's Echo, Mejai's Soulstealer, Zhonya's Hourglass,NaN,0.0202,0.7344
Lissandra, Luden's Echo, Zhonya's Hourglass, Morellonomicon,NaN,0.1866,0.5167
Lissandra, Hextech Protobelt-01, Luden's Echo, Zhonya's Hourglass,NaN,0.1353,0.5747
Lissandra, Luden's Echo, Hextech Protobelt-01, Zhonya's Hourglass,NaN,0.0809,0.5769
Lissandra, Hextech Protobelt-01, Zhonya's Hourglass, Morellonomicon,NaN,0.0715,0.5
Lissandra, Luden's Echo, Morellonomicon, Zhonya's Hourglass,NaN,0.0575,0.4865
Lissandra, Hextech Protobelt-01, Zhonya's Hourglass, Luden's Echo,NaN,0.056,0.5833
Lissandra, Luden's Echo, Zhonya's Hourglass, Rabadon's Deathcap,NaN,0.0342,0.5455
Lissandra, Hextech Protobelt-01, Morellonomicon, Zhonya's Hourglass,NaN,0.0233,0.4
Lucian, Blade of the Ruined King, Essence Reaver, Infinity Edge,NaN,0.2669,0.5866
Lucian, Blade of the Ruined King, Essence Reaver, Rapid Firecannon,NaN,0.2062,0.5652
Lucian, Blade of the Ruined King, Essence Reaver, Phantom Dancer,NaN,0.0855,0.5403
Lucian, Blade of the Ruined King, Black Cleaver, Rapid Firecannon,NaN,0.0538,0.5385
Lucian, Blade of the Ruined King, Black Cleaver, Essence Reaver,NaN,0.0538,0.5641
Lucian, Blade of the Ruined King, Essence Reaver, Black Cleaver,NaN,0.0483,0.4857
Lucian, Blade of the Ruined King, Black Cleaver, Phantom Dancer,NaN,0.0262,0.5789
Lucian, Blade of the Ruined King, Essence Reaver, Maw of Malmortius,NaN,0.0221,0.4063
Lux, Luden's Echo, Morellonomicon, Zhonya's Hourglass,NaN,0.137,0.475
Lux, Luden's Echo, Zhonya's Hourglass, Morellonomicon,NaN,0.1027,0.7
Lux, Luden's Echo, Mejai's Soulstealer, Morellonomicon,NaN,0.0856,0.64
Lux, Luden's Echo, Morellonomicon, Mejai's Soulstealer,NaN,0.0753,0.6364
Lux, Luden's Echo, Morellonomicon, Rabadon's Deathcap,NaN,0.0616,0.5556
Lux, Luden's Echo, Zhonya's Hourglass, Mejai's Soulstealer,NaN,0.0514,0.7333
Lux, Luden's Echo, Zhonya's Hourglass, Rabadon's Deathcap,NaN,0.0342,0.3
Lux, Luden's Echo, Mejai's Soulstealer, Zhonya's Hourglass,NaN,0.0342,0.4
Malphite, Luden's Echo, Morellonomicon, Zhonya's Hourglass,NaN,0.0654,0.4706
Malphite, Luden's Echo, Zhonya's Hourglass, Morellonomicon,NaN,0.0423,0.2727
Malphite, Sunfire Cape, Iceborn Gauntlet, Thornmail,NaN,0.0385,0.5
Malphite, Luden's Echo, Morellonomicon, Rabadon's Deathcap,NaN,0.0308,0.625
Malphite, Sunfire Cape, Iceborn Gauntlet, Abyssal Mask,NaN,0.0192,0.8
Malphite, Luden's Echo, Hextech Protobelt-01, Morellonomicon,NaN,0.0154,0.25
Malphite, Luden's Echo, Hextech Protobelt-01, Zhonya's Hourglass,NaN,0.0154,0.5
Malphite, Sunfire Cape, Thornmail, Iceborn Gauntlet,NaN,0.0154,0.5
Malzahar, Luden's Echo, Rylai's Crystal Scepter, Liandry's Torment,NaN,0.3582,0.6186
Malzahar, Luden's Echo, Rylai's Crystal Scepter, Morellonomicon,NaN,0.085,0.4393
Malzahar, Luden's Echo, Liandry's Torment, Rylai's Crystal Scepter,NaN,0.0826,0.6635
Malzahar, Luden's Echo, Rylai's Crystal Scepter, Zhonya's Hourglass,NaN,0.0747,0.5213
Malzahar, Luden's Echo, Zhonya's Hourglass, Rylai's Crystal Scepter,NaN,0.0413,0.5192
Malzahar, Luden's Echo, Morellonomicon, Rylai's Crystal Scepter,NaN,0.0397,0.54
Malzahar, Luden's Echo, Rylai's Crystal Scepter, Rabadon's Deathcap,NaN,0.0214,0.7037
Malzahar, Luden's Echo, Rylai's Crystal Scepter, Mejai's Soulstealer,NaN,0.0207,0.7692
Mordekaiser, Hextech Protobelt-01, Rylai's Crystal Scepter, Liandry's Torment,NaN,0.1514,0.5679
Mordekaiser, Hextech Protobelt-01, Rylai's Crystal Scepter, Zhonya's Hourglass,NaN,0.0935,0.64
Mordekaiser, Hextech Protobelt-01, Liandry's Torment, Rylai's Crystal Scepter,NaN,0.0542,0.5862
Mordekaiser, Hextech Protobelt-01, Rylai's Crystal Scepter, Morellonomicon,NaN,0.0411,0.5
Mordekaiser, Rylai's Crystal Scepter, Liandry's Torment, Zhonya's Hourglass,NaN,0.0318,0.5882
Mordekaiser, Liandry's Torment, Nashor's Tooth, Rylai's Crystal Scepter,NaN,0.0243,0.6923
Mordekaiser, Liandry's Torment, Nashor's Tooth, Zhonya's Hourglass,NaN,0.0243,0.4615
Mordekaiser, Hextech Protobelt-01, Zhonya's Hourglass, Rylai's Crystal Scepter,NaN,0.0224,0.5
Neeko, Hextech GLP-800, Twin Shadows, Zhonya's Hourglass,NaN,0.2874,0.5205
Neeko, Hextech GLP-800, Zhonya's Hourglass, Twin Shadows,NaN,0.0906,0.3913
Neeko, Hextech Protobelt-01, Luden's Echo, Zhonya's Hourglass,NaN,0.0709,0.5556
Neeko, Hextech GLP-800, Twin Shadows, Morellonomicon,NaN,0.0551,0.9286
Neeko, Hextech Protobelt-01, Zhonya's Hourglass, Morellonomicon,NaN,0.0472,0.75
Neeko, Hextech GLP-800, Morellonomicon, Zhonya's Hourglass,NaN,0.0472,0.9167
Neeko, Luden's Echo, Zhonya's Hourglass, Morellonomicon,NaN,0.0394,0.5
Neeko, Luden's Echo, Hextech Protobelt-01, Zhonya's Hourglass,NaN,0.0315,0.125
Nocturne, Tiamat, Duskblade of Draktharr, Youmuu's Ghostblade, Black Cleaver,0.0452,0.68
Nocturne, Tiamat, Duskblade of Draktharr, Black Cleaver, Guardian Angel,0.0352,0.4872
Nocturne, Tiamat, Umbral Glaive, Duskblade of Draktharr, Black Cleaver,0.0271,0.5333
Nocturne, Tiamat, Duskblade of Draktharr, Youmuu's Ghostblade, Guardian Angel,0.0253,0.7143
Nocturne, Tiamat, Duskblade of Draktharr, Youmuu's Ghostblade, Edge of Night,0.0253,0.5714
Nocturne, Tiamat, Duskblade of Draktharr, Sanguine Blade, Black Cleaver,0.0226,0.72
Nocturne, Tiamat, Duskblade of Draktharr, Umbral Glaive, Black Cleaver,0.0217,0.7083
Nocturne, Sanguine Blade, Duskblade of Draktharr, Youmuu's Ghostblade,NaN,0.0199,0.5
Orianna, Luden's Echo, Morellonomicon, Zhonya's Hourglass,NaN,0.1845,0.5326
Orianna, Luden's Echo, Zhonya's Hourglass, Morellonomicon,NaN,0.0944,0.5144
Orianna, Luden's Echo, Morellonomicon, Rabadon's Deathcap,NaN,0.0928,0.5481
Orianna, Luden's Echo, Morellonomicon, Mejai's Soulstealer,NaN,0.045,0.7155
Orianna, Luden's Echo, Morellonomicon, Void Staff,NaN,0.0412,0.5
Orianna, Luden's Echo, Morellonomicon, Banshee's Veil,NaN,0.0408,0.5333
Orianna, Hextech GLP-800, Morellonomicon, Zhonya's Hourglass,NaN,0.0283,0.5342
Orianna, Luden's Echo, Mejai's Soulstealer, Morellonomicon,NaN,0.0202,0.5962
Ornn, Abyssal Mask, Sunfire Cape, Warmog's Armor,NaN,0.152,0.641
Ornn, Abyssal Mask, Sunfire Cape, Gargoyle Stoneplate,NaN,0.0975,0.68
Ornn, Sunfire Cape, Abyssal Mask, Warmog's Armor,NaN,0.0741,0.6053
Ornn, Abyssal Mask, Sunfire Cape, Thornmail,NaN,0.0565,0.6207
Ornn, Sunfire Cape, Abyssal Mask, Gargoyle Stoneplate,NaN,0.0468,0.5833
Ornn, Abyssal Mask, Sunfire Cape, Adaptive Helm,NaN,0.0409,0.5714
Ornn, Sunfire Cape, Iceborn Gauntlet, Thornmail,NaN,0.0409,0.6667
Ornn, Abyssal Mask, Sunfire Cape, Knight's Vow,NaN,0.039,0.55
Pantheon, Youmuu's Ghostblade, Black Cleaver, Guardian Angel,NaN,0.1725,0.5654
Pantheon, Youmuu's Ghostblade, Duskblade of Draktharr, Black Cleaver,NaN,0.0902,0.5813
Pantheon, Youmuu's Ghostblade, Black Cleaver, Sterak's Gage,NaN,0.0513,0.5495
Pantheon, Youmuu's Ghostblade, Umbral Glaive, Black Cleaver,NaN,0.0349,0.6452
Pantheon, Youmuu's Ghostblade, Black Cleaver, Duskblade of Draktharr,NaN,0.0349,0.5806
Pantheon, Youmuu's Ghostblade, Black Cleaver, Edge of Night,NaN,0.0333,0.5593
Pantheon, Youmuu's Ghostblade, Black Cleaver, Maw of Malmortius,NaN,0.0299,0.5283
Pantheon, Youmuu's Ghostblade, Edge of Night, Black Cleaver,NaN,0.0299,0.6415
Pyke, Tiamat, Youmuu's Ghostblade, Duskblade of Draktharr, Edge of Night,0.1318,0.6322
Pyke, Tiamat, Duskblade of Draktharr, Youmuu's Ghostblade, Edge of Night,0.1182,0.641
Pyke, Tiamat, Umbral Glaive, Youmuu's Ghostblade, Duskblade of Draktharr,0.0727,0.5417
Pyke, Tiamat, Youmuu's Ghostblade, Duskblade of Draktharr, Umbral Glaive,0.0606,0.675
Pyke, Tiamat, Umbral Glaive, Duskblade of Draktharr, Youmuu's Ghostblade,0.053,0.5143
Pyke, Tiamat, Youmuu's Ghostblade, Umbral Glaive, Duskblade of Draktharr,0.0409,0.5926
Pyke, Tiamat, Duskblade of Draktharr, Youmuu's Ghostblade, Umbral Glaive,0.0364,0.5417
Pyke, Duskblade of Draktharr, Youmuu's Ghostblade, Edge of Night,NaN,0.0318,0.6667
Qiyana, Umbral Glaive, Duskblade of Draktharr, Youmuu's Ghostblade,NaN,0.1607,0.5656
Qiyana, Umbral Glaive, Duskblade of Draktharr, Edge of Night,NaN,0.0989,0.6225
Qiyana, Umbral Glaive, Youmuu's Ghostblade, Duskblade of Draktharr,NaN,0.0928,0.6214
Qiyana, Umbral Glaive, Youmuu's Ghostblade, Edge of Night,NaN,0.0613,0.5692
Qiyana, Duskblade of Draktharr, Youmuu's Ghostblade, Edge of Night,NaN,0.0579,0.6318
Qiyana, Duskblade of Draktharr, Umbral Glaive, Youmuu's Ghostblade,NaN,0.0497,0.6293
Qiyana, Duskblade of Draktharr, Youmuu's Ghostblade, Umbral Glaive,NaN,0.0388,0.6313
Qiyana, Youmuu's Ghostblade, Duskblade of Draktharr, Edge of Night,NaN,0.0373,0.5974
Renekton, Tiamat, Black Cleaver, Sterak's Gage, Guardian Angel,0.1517,0.6364
Renekton, Tiamat, Black Cleaver, Guardian Angel, Sterak's Gage,0.0897,0.6731
Renekton, Black Cleaver, Sterak's Gage, Guardian Angel,NaN,0.0534,0.5806
Renekton, Tiamat, Black Cleaver, Titanic Hydra, Sterak's Gage,0.0414,0.75
Renekton, Tiamat, Black Cleaver, Ravenous Hydra, Sterak's Gage,0.0379,0.5909
Renekton, Tiamat, Black Cleaver, Titanic Hydra, Guardian Angel,0.031,0.5556
Renekton, Tiamat, Black Cleaver, Ravenous Hydra, Guardian Angel,0.0276,0.4375
Renekton, Tiamat, Black Cleaver, Guardian Angel, Maw of Malmortius,0.0241,0.4286
Rumble, Liandry's Torment, Morellonomicon, Zhonya's Hourglass,NaN,0.2294,0.5882
Rumble, Liandry's Torment, Zhonya's Hourglass, Morellonomicon,NaN,0.1542,0.5708
Rumble, Morellonomicon, Liandry's Torment, Zhonya's Hourglass,NaN,0.0701,0.5229
Rumble, Liandry's Torment, Rylai's Crystal Scepter, Zhonya's Hourglass,NaN,0.0617,0.625
Rumble, Liandry's Torment, Zhonya's Hourglass, Rylai's Crystal Scepter,NaN,0.0527,0.5732
Rumble, Liandry's Torment, Morellonomicon, Rylai's Crystal Scepter,NaN,0.0308,0.5417
Rumble, Liandry's Torment, Morellonomicon, Void Staff,NaN,0.0296,0.6087
Rumble, Morellonomicon, Zhonya's Hourglass, Liandry's Torment,NaN,0.0289,0.4889
